,y,clusters
340,Group 2,0
341,Group 2,0
342,Group 1,1
343,Group 1,0
344,Group 2,1
345,Group 4,3
346,Group 1,0
347,Group 2,0
348,Group 1,0
349,Group 4,0
350,Group 2,0
351,Group 4,0
352,Group 3,0
353,Group 1,0
354,Group 1,0
355,Group 1,3
356,Group 1,0
357,Group 2,0
358,Group 1,0
359,Group 2,0
360,Group 1,0
361,Group 1,0
362,Group 2,0
363,Group 2,0
364,Group 1,3
365,Group 1,0
366,Group 1,0
367,Group 1,0
368,Group 2,0
369,Group 1,0
370,Group 4,0
371,Group 1,0
372,Group 1,0
373,Group 2,0
374,Group 1,0
375,Group 1,0
376,Group 3,0
377,Group 1,2
378,Group 1,1
379,Group 1,3
380,Group 3,0
381,Group 3,0
382,Group 4,0
383,Group 2,0
384,Group 1,0
385,Group 1,0
386,Group 2,0
387,Group 2,0
388,Group 2,0
389,Group 1,2
390,Group 2,3
391,Group 2,0
392,Group 1,0
393,Group 1,2
394,Group 1,0
395,Group 4,0
396,Group 1,0
397,Group 1,0
398,Group 1,0
399,Group 2,0
400,Group 1,0
401,Group 2,3
402,Group 1,0
403,Group 3,0
404,Group 1,0
405,Group 2,1
406,Group 2,0
407,Group 2,0
408,Group 2,0
409,Group 2,0
410,Group 1,0
411,Group 2,0
412,Group 1,0
413,Group 1,3
414,Group 2,0
415,Group 4,0
416,Group 4,0
417,Group 1,2
418,Group 1,0
419,Group 1,1
420,Group 2,0
421,Group 1,0
422,Group 4,0
423,Group 1,0
424,Group 1,0
425,Group 1,0
426,Group 1,1
427,Group 1,0
428,Group 1,0
429,Group 3,2
430,Group 1,0
431,Group 4,3
432,Group 3,0
433,Group 2,0
434,Group 1,0
435,Group 1,0
436,Group 1,0
437,Group 2,0
438,Group 4,0
439,Group 1,0
440,Group 3,0
441,Group 1,3
442,Group 1,0
443,Group 1,0
444,Group 1,0
445,Group 1,1
446,Group 1,0
447,Group 1,0
448,Group 1,0
449,Group 1,1
450,Group 1,0
451,Group 1,0
452,Group 1,1
453,Group 2,0
454,Group 1,1
455,Group 3,0
456,Group 2,3
457,Group 4,3
458,Group 2,0
459,Group 2,0
460,Group 1,0
461,Group 1,0
462,Group 1,0
463,Group 1,0
464,Group 1,0
465,Group 1,0
466,Group 2,0
467,Group 1,0
468,Group 2,0
469,Group 1,0
470,Group 1,0
471,Group 1,0
472,Group 2,0
473,Group 2,2
474,Group 1,1
475,Group 2,3
476,Group 4,0
477,Group 3,0
478,Group 1,2
479,Group 2,0
480,Group 1,0
481,Group 2,2
482,Group 1,0
483,Group 1,0
484,Group 3,0
485,Group 2,0
486,Group 4,0
487,Group 1,0
488,Group 3,1
489,Group 1,0
490,Group 1,0
491,Group 1,0
492,Group 1,0
493,Group 1,0
494,Group 3,0
495,Group 2,0
496,Group 1,0
497,Group 4,0
498,Group 1,3
499,Group 1,0
500,Group 1,2
501,Group 1,0
502,Group 1,1
503,Group 1,0
504,Group 1,0
505,Group 4,0
506,Group 1,3
507,Group 2,3
508,Group 1,0
509,Group 2,0
510,Group 1,0
511,Group 1,0
512,Group 1,0
513,Group 1,0
514,Group 4,0
515,Group 3,0
516,Group 2,0
517,Group 1,0
518,Group 2,1
519,Group 1,0
520,Group 2,0
521,Group 1,0
522,Group 1,0
523,Group 3,0
524,Group 1,0
525,Group 1,0
526,Group 2,0
527,Group 2,0
528,Group 2,0
529,Group 1,0
530,Group 1,0
531,Group 2,0
532,Group 2,0
533,Group 3,0
534,Group 2,0
535,Group 1,1
536,Group 1,0
537,Group 4,0
538,Group 4,0
539,Group 2,0
540,Group 1,2
541,Group 2,0
542,Group 1,0
543,Group 1,2
544,Group 4,0
545,Group 4,3
546,Group 3,0
547,Group 4,0
548,Group 1,0
549,Group 2,0
550,Group 3,0
551,Group 1,0
552,Group 2,0
553,Group 1,0
554,Group 1,0
555,Group 1,0
556,Group 1,0
557,Group 1,1
558,Group 1,0
559,Group 2,0
560,Group 1,3
561,Group 3,0
562,Group 2,3
563,Group 1,0
564,Group 1,2
565,Group 4,0
566,Group 1,3
567,Group 2,0
568,Group 3,0
569,Group 1,0
570,Group 1,0
571,Group 2,0
572,Group 4,0
573,Group 3,0
574,Group 1,1
575,Group 3,3
576,Group 1,0
577,Group 2,0
578,Group 3,0
579,Group 1,0
580,Group 1,0
581,Group 1,0
582,Group 2,0
583,Group 1,0
584,Group 3,0
585,Group 1,0
586,Group 4,0
587,Group 1,2
588,Group 2,0
589,Group 1,3
590,Group 3,0
591,Group 2,0
592,Group 2,0
593,Group 1,0
594,Group 2,0
595,Group 1,0
596,Group 1,0
597,Group 1,0
598,Group 2,0
599,Group 4,3
600,Group 4,0
601,Group 4,0
602,Group 1,0
603,Group 4,0
604,Group 1,0
605,Group 2,0
606,Group 2,0
607,Group 1,0
608,Group 1,0
609,Group 1,0
610,Group 2,0
611,Group 1,0
612,Group 2,0
613,Group 3,0
614,Group 1,0
615,Group 4,0
616,Group 2,0
617,Group 1,0
618,Group 1,3
619,Group 2,0
620,Group 2,1
621,Group 3,0
622,Group 2,0
623,Group 3,0
624,Group 3,2
625,Group 3,0
626,Group 1,0
627,Group 2,2
628,Group 1,0
629,Group 1,0
630,Group 3,0
631,Group 2,0
632,Group 1,0
633,Group 2,0
634,Group 1,0
635,Group 1,1
636,Group 1,1
637,Group 4,0
638,Group 4,0
639,Group 1,0
640,Group 1,2
641,Group 1,1
642,Group 1,0
643,Group 2,0
644,Group 3,0
645,Group 2,0
646,Group 1,2
647,Group 1,0
648,Group 2,0
649,Group 4,0
650,Group 1,0
651,Group 1,0
652,Group 1,1
653,Group 2,3
654,Group 2,0
655,Group 3,0
656,Group 1,1
657,Group 2,0
658,Group 1,1
659,Group 1,0
660,Group 1,3
661,Group 1,0
662,Group 1,0
663,Group 2,0
664,Group 1,0
665,Group 1,0
666,Group 2,0
667,Group 1,0
668,Group 1,3
669,Group 4,0
670,Group 4,0
671,Group 1,2
672,Group 1,2
673,Group 2,0
674,Group 1,0
675,Group 1,0
676,Group 2,2
677,Group 2,1
678,Group 2,0
679,Group 1,0
680,Group 2,2
681,Group 1,0
682,Group 1,0
683,Group 3,0
684,Group 3,3
685,Group 1,0
686,Group 2,0
687,Group 1,0
688,Group 1,0
689,Group 2,0
690,Group 2,0
691,Group 1,0
692,Group 2,3
693,Group 1,0
694,Group 1,0
695,Group 1,1
696,Group 2,0
697,Group 2,0
698,Group 1,0
699,Group 2,3
700,Group 1,0
701,Group 2,0
702,Group 1,1
703,Group 2,0
704,Group 2,3
705,Group 1,1
706,Group 1,0
707,Group 3,0
708,Group 2,0
709,Group 1,0
710,Group 4,0
711,Group 1,1
712,Group 1,0
713,Group 3,2
714,Group 1,0
715,Group 4,0
716,Group 4,0
717,Group 1,1
718,Group 2,0
719,Group 2,0
720,Group 4,0
721,Group 4,0
722,Group 2,0
723,Group 2,0
724,Group 4,0
725,Group 1,0
726,Group 2,0
727,Group 1,0
728,Group 4,0
729,Group 1,0
730,Group 1,0
731,Group 1,0
732,Group 2,0
733,Group 1,1
734,Group 2,0
735,Group 1,0
736,Group 4,0
737,Group 2,0
738,Group 2,3
739,Group 2,3
740,Group 2,0
741,Group 1,0
742,Group 2,0
743,Group 3,0
744,Group 1,0
745,Group 1,0
746,Group 1,0
747,Group 1,0
748,Group 3,0
749,Group 1,0
750,Group 1,0
751,Group 1,0
752,Group 3,0
753,Group 3,0
754,Group 2,0
755,Group 4,0
756,Group 1,0
757,Group 1,0
758,Group 1,1
759,Group 2,0
760,Group 2,1
761,Group 1,0
762,Group 2,0
763,Group 1,0
764,Group 1,0
765,Group 2,3
766,Group 1,0
767,Group 2,0
768,Group 2,0
769,Group 3,0
770,Group 2,0
771,Group 1,0
772,Group 4,0
773,Group 4,0
774,Group 2,0
775,Group 2,0
776,Group 3,0
777,Group 1,0
778,Group 1,0
779,Group 1,2
780,Group 2,0
781,Group 1,0
782,Group 1,1
783,Group 2,0
784,Group 4,0
785,Group 4,0
786,Group 3,1
787,Group 1,1
788,Group 1,3
789,Group 2,0
790,Group 1,2
791,Group 4,0
792,Group 2,0
793,Group 2,1
794,Group 3,0
795,Group 2,0
796,Group 4,0
797,Group 4,0
798,Group 2,0
799,Group 1,0
800,Group 3,0
801,Group 1,0
802,Group 4,0
803,Group 1,2
804,Group 1,3
805,Group 2,0
806,Group 1,0
807,Group 1,0
808,Group 1,2
809,Group 1,0
810,Group 1,0
811,Group 1,2
812,Group 1,1
813,Group 2,0
814,Group 1,0
815,Group 2,0
816,Group 2,0
817,Group 2,0
818,Group 4,0
819,Group 4,0
820,Group 3,3
821,Group 1,0
822,Group 4,0
823,Group 2,0
824,Group 2,0
825,Group 2,0
826,Group 3,0
827,Group 3,0
828,Group 2,0
829,Group 2,0
830,Group 2,0
831,Group 1,0
832,Group 2,0
833,Group 2,0
834,Group 3,0
835,Group 1,0
836,Group 1,0
837,Group 1,0
838,Group 1,0
839,Group 1,0
840,Group 1,0
841,Group 1,0
842,Group 1,0
843,Group 1,0
844,Group 4,0
845,Group 1,0
846,Group 2,0
847,Group 4,1
848,Group 2,0
849,Group 1,0
850,Group 3,3
851,Group 2,0
852,Group 1,0
853,Group 1,1
854,Group 1,0
855,Group 2,1
856,Group 2,1
857,Group 1,1
858,Group 1,0
859,Group 1,0
860,Group 2,0
861,Group 4,0
862,Group 2,0
863,Group 1,1
864,Group 1,1
865,Group 1,0
866,Group 4,0
867,Group 1,3
868,Group 1,1
869,Group 1,0
870,Group 1,0
871,Group 1,0
872,Group 1,0
873,Group 1,0
874,Group 2,1
875,Group 3,2
876,Group 1,0
877,Group 2,0
878,Group 2,2
879,Group 1,1
880,Group 1,3
881,Group 4,0
882,Group 1,0
883,Group 1,0
884,Group 1,0
885,Group 4,0
886,Group 1,0
887,Group 3,0
888,Group 1,0
889,Group 3,0
890,Group 2,0
891,Group 2,0
892,Group 2,0
893,Group 2,3
894,Group 1,3
895,Group 2,3
896,Group 1,0
897,Group 1,0
898,Group 1,0
899,Group 1,1
900,Group 1,0
901,Group 1,1
902,Group 3,0
903,Group 2,0
904,Group 1,2
905,Group 2,0
906,Group 1,1
907,Group 3,3
908,Group 2,0
909,Group 3,0
910,Group 1,0
911,Group 2,0
912,Group 2,0
913,Group 1,0
914,Group 4,0
915,Group 1,0
916,Group 4,0
917,Group 1,1
918,Group 1,2
919,Group 1,0
920,Group 2,0
921,Group 1,0
922,Group 1,0
923,Group 1,0
924,Group 4,0
925,Group 1,0
926,Group 1,0
927,Group 2,0
928,Group 2,0
929,Group 1,0
930,Group 4,0
931,Group 2,3
932,Group 2,0
933,Group 3,0
934,Group 2,3
935,Group 1,1
936,Group 2,0
937,Group 2,0
938,Group 2,0
939,Group 4,0
940,Group 1,0
941,Group 2,0
942,Group 1,1
943,Group 1,0
944,Group 4,0
945,Group 1,0
946,Group 2,0
947,Group 1,0
948,Group 1,2
949,Group 4,0
950,Group 2,3
951,Group 1,0
952,Group 1,1
953,Group 1,0
954,Group 1,0
955,Group 1,0
956,Group 3,0
957,Group 1,0
958,Group 2,0
959,Group 1,0
960,Group 2,0
961,Group 4,0
962,Group 2,2
963,Group 2,0
964,Group 1,0
965,Group 1,0
966,Group 1,1
967,Group 1,0
968,Group 1,0
969,Group 3,3
970,Group 1,0
971,Group 2,0
972,Group 4,0
973,Group 4,0
974,Group 1,0
975,Group 4,0
976,Group 1,2
977,Group 2,0
978,Group 1,1
979,Group 1,0
980,Group 3,0
981,Group 1,1
982,Group 1,2
983,Group 1,1
984,Group 4,0
985,Group 2,0
986,Group 1,1
987,Group 2,1
988,Group 1,0
989,Group 1,0
990,Group 3,0
991,Group 1,0
992,Group 4,1
993,Group 4,0
994,Group 1,0
995,Group 1,1
996,Group 1,2
997,Group 4,0
998,Group 2,0
999,Group 2,0
1000,Group 1,0
1001,Group 1,0
1002,Group 2,0
1003,Group 4,0
1004,Group 4,0
1005,Group 1,0
1006,Group 1,0
1007,Group 2,0
1008,Group 1,0
1009,Group 2,0
1010,Group 2,1
1011,Group 2,0
1012,Group 1,0
1013,Group 1,0
1014,Group 1,0
1015,Group 3,0
1016,Group 4,0
1017,Group 3,0
1018,Group 2,0
1019,Group 1,3
1020,Group 2,0
1021,Group 1,0
1022,Group 1,0
1023,Group 1,0
1024,Group 1,0
1025,Group 1,0
1026,Group 1,0
1027,Group 2,3
1028,Group 3,0
1029,Group 2,0
1030,Group 3,0
1031,Group 4,0
1032,Group 3,0
1033,Group 3,0
1034,Group 2,3
1035,Group 2,0
1036,Group 1,1
1037,Group 1,1
1038,Group 1,0
1039,Group 1,0
1040,Group 4,0
1041,Group 1,0
1042,Group 1,0
1043,Group 4,0
1044,Group 4,0
1045,Group 1,3
1046,Group 2,0
1047,Group 1,0
1048,Group 1,0
1049,Group 3,0
1050,Group 2,2
1051,Group 2,0
1052,Group 2,0
1053,Group 2,3
1054,Group 1,0
1055,Group 1,0
1056,Group 3,0
1057,Group 1,0
1058,Group 2,0
1059,Group 1,3
1060,Group 1,0
1061,Group 2,0
1062,Group 3,0
1063,Group 4,0
1064,Group 1,1
1065,Group 1,1
1066,Group 1,0
1067,Group 3,0
1068,Group 1,0
1069,Group 2,0
1070,Group 1,0
1071,Group 1,1
1072,Group 1,1
1073,Group 2,0
1074,Group 1,0
1075,Group 4,0
1076,Group 3,0
1077,Group 1,0
1078,Group 2,0
1079,Group 1,0
1080,Group 2,0
1081,Group 1,1
1082,Group 3,0
1083,Group 1,2
1084,Group 1,0
1085,Group 3,0
1086,Group 1,0
1087,Group 3,3
1088,Group 4,3
1089,Group 2,0
1090,Group 1,0
1091,Group 2,0
1092,Group 2,0
1093,Group 1,3
1094,Group 2,1
1095,Group 1,0
1096,Group 2,0
1097,Group 1,0
1098,Group 1,0
1099,Group 1,2
1100,Group 1,1
1101,Group 1,0
1102,Group 2,0
1103,Group 1,0
1104,Group 1,0
1105,Group 4,0
1106,Group 2,0
1107,Group 1,0
1108,Group 1,0
1109,Group 2,0
1110,Group 1,1
1111,Group 1,0
1112,Group 1,0
1113,Group 2,2
1114,Group 3,0
1115,Group 1,0
1116,Group 1,0
1117,Group 1,2
1118,Group 1,0
1119,Group 1,0
1120,Group 3,0
1121,Group 1,3
1122,Group 2,0
1123,Group 2,0
1124,Group 1,2
1125,Group 1,0
1126,Group 2,0
1127,Group 1,0
1128,Group 1,0
1129,Group 3,0
1130,Group 4,0
1131,Group 2,0
1132,Group 1,0
1133,Group 1,0
1134,Group 1,0
1135,Group 2,3
1136,Group 1,0
1137,Group 4,0
1138,Group 4,0
1139,Group 2,0
1140,Group 2,0
1141,Group 2,0
1142,Group 1,0
1143,Group 3,0
1144,Group 2,0
1145,Group 1,0
1146,Group 4,0
1147,Group 3,0
1148,Group 1,2
1149,Group 1,0
1150,Group 2,0
1151,Group 1,0
1152,Group 4,0
1153,Group 1,0
1154,Group 1,0
1155,Group 2,0
1156,Group 2,0
1157,Group 1,0
1158,Group 1,0
1159,Group 1,0
1160,Group 1,0
1161,Group 1,0
1162,Group 1,0
1163,Group 3,0
1164,Group 1,0
1165,Group 2,0
1166,Group 1,0
1167,Group 1,0
1168,Group 2,0
1169,Group 1,0
1170,Group 3,0
1171,Group 3,1
1172,Group 1,0
1173,Group 4,0
1174,Group 1,0
1175,Group 1,0
1176,Group 4,0
1177,Group 1,1
1178,Group 2,0
1179,Group 2,0
1180,Group 1,0
1181,Group 1,3
1182,Group 1,2
1183,Group 1,0
1184,Group 3,3
1185,Group 1,0
1186,Group 1,2
1187,Group 2,0
1188,Group 2,0
1189,Group 2,0
1190,Group 1,0
1191,Group 2,0
1192,Group 1,0
1193,Group 2,0
1194,Group 1,0
1195,Group 1,0
1196,Group 2,0
1197,Group 1,0
1198,Group 1,0
1199,Group 4,0
1200,Group 3,0
1201,Group 1,0
1202,Group 4,0
1203,Group 1,0
1204,Group 1,0
1205,Group 1,1
1206,Group 4,0
1207,Group 1,0
1208,Group 1,0
1209,Group 3,1
1210,Group 2,1
1211,Group 1,0
1212,Group 1,0
1213,Group 2,0
1214,Group 2,0
1215,Group 3,0
1216,Group 1,1
1217,Group 4,0
1218,Group 4,0
1219,Group 2,0
1220,Group 2,0
1221,Group 1,0
1222,Group 1,0
1223,Group 1,2
1224,Group 4,0
1225,Group 1,0
1226,Group 1,0
1227,Group 2,0
1228,Group 1,0
1229,Group 1,0
1230,Group 2,0
1231,Group 2,3
1232,Group 4,0
1233,Group 1,0
1234,Group 3,0
1235,Group 1,1
1236,Group 1,1
1237,Group 2,1
1238,Group 3,0
1239,Group 2,0
1240,Group 1,0
1241,Group 4,0
1242,Group 1,1
1243,Group 2,0
1244,Group 1,0
1245,Group 2,0
1246,Group 1,1
1247,Group 1,0
1248,Group 1,0
1249,Group 1,0
1250,Group 2,0
1251,Group 2,0
1252,Group 1,0
1253,Group 2,0
1254,Group 4,0
1255,Group 1,0
1256,Group 1,0
1257,Group 1,0
1258,Group 2,0
1259,Group 2,0
1260,Group 2,1
1261,Group 3,0
1262,Group 3,0
1263,Group 4,0
1264,Group 4,0
1265,Group 2,0
1266,Group 2,0
1267,Group 3,0
1268,Group 1,1
1269,Group 1,0
1270,Group 2,0
1271,Group 1,0
1272,Group 1,2
1273,Group 1,0
1274,Group 1,0
1275,Group 3,0
1276,Group 1,0
1277,Group 1,0
1278,Group 1,0
1279,Group 1,0
1280,Group 4,0
1281,Group 2,0
1282,Group 1,0
1283,Group 1,0
1284,Group 1,0
1285,Group 2,0
1286,Group 1,0
1287,Group 3,0
1288,Group 2,2
1289,Group 1,0
1290,Group 2,0
1291,Group 1,0
1292,Group 3,0
1293,Group 2,1
1294,Group 4,0
1295,Group 1,0
1296,Group 3,0
1297,Group 4,0
1298,Group 3,0
1299,Group 1,0
1300,Group 1,0
1301,Group 1,2
1302,Group 1,0
1303,Group 1,0
1304,Group 4,0
1305,Group 1,0
1306,Group 3,0
1307,Group 1,0
1308,Group 3,0
1309,Group 3,0
1310,Group 1,1
1311,Group 1,1
1312,Group 1,0
1313,Group 4,0
1314,Group 1,2
1315,Group 1,0
1316,Group 2,0
1317,Group 1,1
1318,Group 2,2
1319,Group 3,0
1320,Group 1,0
1321,Group 3,0
1322,Group 3,0
1323,Group 1,0
1324,Group 4,0
1325,Group 1,0
1326,Group 1,1
1327,Group 3,3
1328,Group 3,0
1329,Group 1,0
1330,Group 1,0
1331,Group 1,0
1332,Group 2,3
1333,Group 1,0
1334,Group 1,0
1335,Group 2,3
1336,Group 1,0
1337,Group 4,0
1338,Group 3,0
1339,Group 1,0
1340,Group 2,0
1341,Group 1,0
1342,Group 1,0
1343,Group 2,0
1344,Group 2,0
1345,Group 1,3
1346,Group 1,0
1347,Group 3,0
1348,Group 4,0
1349,Group 1,0
1350,Group 2,0
1351,Group 3,0
1352,Group 3,3
1353,Group 2,3
1354,Group 1,2
1355,Group 3,0
1356,Group 3,0
1357,Group 2,2
1358,Group 1,0
1359,Group 1,0
1360,Group 1,0
1361,Group 1,2
1362,Group 2,0
1363,Group 1,0
1364,Group 1,1
1365,Group 1,0
1366,Group 1,0
1367,Group 1,2
1368,Group 3,0
1369,Group 2,0
1370,Group 2,0
1371,Group 4,0
1372,Group 2,0
1373,Group 1,1
1374,Group 3,0
1375,Group 1,0
1376,Group 1,0
1377,Group 4,0
1378,Group 4,0
1379,Group 1,0
1380,Group 1,0
1381,Group 1,1
1382,Group 1,3
1383,Group 1,0
1384,Group 1,0
1385,Group 1,2
1386,Group 1,2
1387,Group 3,0
1388,Group 1,1
1389,Group 2,0
1390,Group 2,0
1391,Group 2,0
1392,Group 4,0
1393,Group 1,0
1394,Group 4,0
1395,Group 4,0
1396,Group 1,0
1397,Group 1,0
1398,Group 1,0
1399,Group 2,0
1400,Group 2,0
1401,Group 2,0
1402,Group 2,0
1403,Group 1,0
1404,Group 2,0
1405,Group 1,0
1406,Group 2,0
1407,Group 3,3
1408,Group 1,0
1409,Group 2,0
1410,Group 1,1
1411,Group 2,3
1412,Group 2,0
1413,Group 1,0
1414,Group 2,0
1415,Group 1,1
1416,Group 2,0
1417,Group 1,0
1418,Group 1,0
1419,Group 2,0
1420,Group 2,0
1421,Group 3,0
1422,Group 1,1
1423,Group 1,2
1424,Group 4,0
1425,Group 2,0
1426,Group 1,1
1427,Group 4,0
1428,Group 1,0
1429,Group 1,0
1430,Group 1,0
1431,Group 1,0
1432,Group 1,3
1433,Group 2,0
1434,Group 2,0
1435,Group 3,0
1436,Group 1,0
1437,Group 1,3
1438,Group 2,0
1439,Group 2,0
1440,Group 1,0
1441,Group 1,0
1442,Group 2,0
1443,Group 1,0
1444,Group 4,0
1445,Group 1,1
1446,Group 4,0
1447,Group 4,0
1448,Group 1,0
1449,Group 1,0
1450,Group 1,0
1451,Group 1,0
1452,Group 2,1
1453,Group 1,0
1454,Group 1,0
1455,Group 2,0
1456,Group 4,0
1457,Group 1,1
1458,Group 3,0
1459,Group 1,0
1460,Group 4,0
1461,Group 1,0
1462,Group 1,0
1463,Group 2,0
1464,Group 4,0
1465,Group 1,0
1466,Group 1,0
1467,Group 1,0
1468,Group 1,0
1469,Group 1,0
1470,Group 2,0
1471,Group 1,2
1472,Group 2,0
1473,Group 1,0
1474,Group 1,3
1475,Group 1,0
1476,Group 2,0
1477,Group 1,0
1478,Group 2,0
1479,Group 1,0
1480,Group 4,0
1481,Group 2,0
1482,Group 1,0
1483,Group 3,0
1484,Group 1,2
1485,Group 1,0
1486,Group 1,0
1487,Group 1,3
1488,Group 2,0
1489,Group 1,0
1490,Group 1,0
1491,Group 3,0
1492,Group 2,1
1493,Group 4,0
1494,Group 1,0
1495,Group 1,0
1496,Group 1,0
1497,Group 1,0
